time plan_Interval
1795.85 6.5488e-05
1800.5 0.149791
1805.25 0.300074
1809.9 0.349996
1814.5 0.350175
1830.35 11.6
1835.05 0.200092
1839.8 0.350164
1844.55 0.500083
1849.3 0.69986
1854.05 0.60011
1858.75 0.699995
1863.55 0.899979
1868.25 0.849924
1872.95 0.949852
1877.65 1.04993
1882.4 1.10013
1889.2 3.54996
1894.15 0.0500725
1898.95 0.0498308
1903.65 0.000111266
1908.4 0.149991
1913.05 0.200004
1918.4 0.299987
1923.1 0.150175
1928.4 1.05002
1933.15 0.450088
1937.85 0.450012
1942.6 0.45002
1947.4 0.549898
1952.15 0.699895
1956.85 0.799913
1961.55 0.900129
1966.4 0.949983
1986.25 16.5001
1993.75 5.272e-05
2001.3 3.4676e-05
2008.55 0.0499699
2015.65 6.2254e-05
2022.7 5.4325e-05
2029.55 5.3716e-05
2036.35 6.4354e-05
2042.95 4.847e-05
2049.5 0.00015912
2055.95 0.00017188
2062.3 0.0499874
2068.5 1.7146e-05
2074.6 6.3254e-05
2080.65 5.3048e-05
2086.55 0.0499771
2092.35 0.0499417
2098.35 0.0498501
2103.9 5.3107e-05
2109.35 0.0500194
2114.65 6.3728e-05
2119.8 0.0500884
2124.8 0.0499189
2129.75 5.4608e-05
2134.55 5.5819e-05
2139.3 6.3716e-05
2144.05 0.150014
2150 1.40001
2154.7 0.199905
2159.4 0.349922
2164.05 0.350079
2168.8 0.349922
2173.55 0.249967
2178.2 0.300195
2183.05 0.250133
2187.75 0.350033
2192.55 0.49995
2197.25 0.499837
2205.5 5.00003
2210.25 0.249993
2219.05 5.45001
2223.8 0.350011
2228.55 0.450013
2238.45 5.70004
2243.2 0.350077
2248 0.349967
2253.15 0.350083
2257.95 0.349989
2262.65 0.349979
2267.5 0.149942
2272.2 0.0999749
2276.95 0.250031
2281.7 0.15006
2286.5 0.249982
2291.2 0.35012
2295.9 0.350016
2300.6 0.350006
2305.3 0.350093
2310 0.349998
2314.8 0.449994
2319.5 0.249989
2324.15 0.350037
2329 0.550065
2333.7 0.449994
2338.6 0.399989
2343.25 0.449979
2347.95 0.449991
2352.65 0.499929
2358.05 0.599945
2362.7 0.449977
2367.55 0.599924
2372.25 0.599997
2376.95 0.449935
2381.65 0.549902
2386.55 0.599956
2391.3 0.449982
2396.05 0.599948
2400.75 0.449984
2405.5 0.349864
2410.25 0.34997
2415.05 0.499923
2419.75 0.35006
2424.55 0.250064
2429.25 0.349926
2433.95 0.499698
2438.9 0.24993
2443.6 0.100012
2448.5 0.250001
2453.25 0.400058
2457.95 0.349899
2462.65 0.4503
2467.5 0.350175
2472.25 0.349988
2476.95 0.20011
2481.7 0.199792
2486.55 0.250052
2491.25 0.249985
2496 0.250008
2500.7 0.349867
2505.65 0.349996
2510.55 0.59999
2515.25 0.500041
2519.95 0.499905
2524.65 0.550014
2529.6 0.700032
2534.35 0.349966
2539.05 0.45004
2543.85 0.449933
2548.5 0.450224
2553.25 0.499975
2557.9 0.300049
2562.65 0.449933
2567.6 0.449992
2572.3 0.549995
2577.15 0.800016
2581.85 0.800069
2586.8 0.899965
2591.65 1.10007
2596.6 1.25014
2601.25 0.899943
2606 0.799999
2610.7 0.700157
2615.55 0.600116
2620.3 0.599937
2625.05 0.700022
2629.7 0.550053
2634.65 0.749918
2639.6 0.549883
2644.3 0.549973
2649.05 0.600023
2653.75 0.44997
2658.6 0.450056
2663.3 0.599991
2668.1 0.499965
2672.8 0.450198
2679.4 2.59991
2684.55 5.567e-05
2689.3 0.150005
2694 0.149663
2698.8 0.250125
2703.5 0.250118
2708.2 0.349941
2712.9 0.450076
2717.8 1.15006
2722.8 1.10019
2727.8 0.950025
2734.6 2.79998
2744.15 5.75013
2748.95 0.550042
2753.85 0.499972
2758.85 0.449778
2763.95 0.499766
2768.7 0.350093
2773.4 0.200022
2778.35 0.350108
2783 0.349957
2787.65 0.450085
2792.4 0.44991
2797.05 0.450004
2801.75 0.549988
2806.45 0.349818
2811.3 0.450044
2816 0.349852
2820.7 0.250017
2825.35 0.349817
2830 0.450053
2834.65 0.350104
2839.35 0.449994
2843.95 0.350014
2848.55 0.349993
2853.35 0.349936
2857.95 0.249959
2862.65 0.349986
2867.4 0.35
2872.05 0.249978
2876.65 0.2499
2881.3 0.350019
2885.9 0.35003
2890.5 0.450037
2895.3 0.450085
2900 0.500022
2904.6 0.450047
2909.35 0.450157
2914 0.350149
2918.65 0.500066
2923.35 0.599946
2928 0.350104
2932.7 0.449914
2937.4 0.349987
2942.05 0.450147
2946.65 0.449819
2951.4 0.450279
2956.35 1.20012
2961.4 0.999797
2966.1 0.800141
2970.75 0.450097
2975.65 0.350063
2980.35 0.449994
2985.05 0.449992
2989.75 0.350136
2994.65 0.45011
2999.3 0.350165
3003.95 0.449957
3008.65 0.350122
3013.25 0.449965
3017.9 0.199965
3022.6 0.200063
3027.25 0.349974
3031.9 0.350099
3036.65 0.449993
3041.3 0.549951
3046 0.499829
3050.7 0.499797
3055.4 0.500018
3060.05 0.54978
3064.65 0.449911
3069.55 0.800071
3074.2 0.450172
3078.85 0.349852
3083.5 0.500024
3088.15 0.549866
3094.3 2.24992
3098.95 0.449993
3103.6 0.449812
3108.55 0.900101
3113.25 0.499821
3121.6 4.00003
3126.25 0.749994
3130.9 0.650243
3135.6 0.549939
3140.3 0.700172
3145.65 1.45
3150.35 0.700084
3155 0.650024
3160 0.800083
3167.85 3.65003
3172.55 0.550004
3177.25 0.349961
3182.2 0.45002
3187.25 0.500125
3192.7 1.05011
3197.35 0.400023
3202.6 0.849943
3207.2 0.300038
3212.25 0.500009
3217.25 0.499999
3223.75 2.09995
3228.4 0.550059
3235.1 2.69995
3239.85 0.349965
3244.55 0.349917
3249.5 0.34995
3254.75 0.499976
3259.5 0.249975
3264.5 0.399943
3269.45 0.350014
3274.05 0.450075
3278.7 0.450105
3283.55 0.450065
3288.3 0.500095
3293 0.500005
3297.7 0.600047
3302.7 0.699955
3307.65 0.750122
3312.7 0.350003
3317.65 0.299953
3322.65 0.44989
3327.7 0.249928
3332.7 0.350047
3337.7 0.350034
3342.7 0.149988
3347.8 0.249952
3352.8 0.149964
3357.7 0.2001
3362.7 0.449946
3367.75 0.599984
3372.7 0.69998
3377.7 0.600039
3382.7 0.450133
3387.75 0.599896
3392.75 0.599991
3401.5 4.3499
3408.3 5.195e-05
3414.85 5.7095e-05
3421.25 5.1104e-05
3427.55 6.2471e-05
3433.8 0.0499135
3439.8 3.1207e-05
3445.7 5.2598e-05
3451.7 0.150024
3457.55 3.6388e-05
3463.35 0.0499755
3469.1 0.200178
3474.75 0.0498975
3480.25 1.7097e-05
3486.45 0.800021
3492.1 0.249921
3497.45 4.9256e-05
3502.7 0.0500236
3507.8 5.1321e-05
3512.85 5.0074e-05
3518.5 0.700092
3523.45 5.3719e-05
3528.25 4.8916e-05
3532.95 5.6392e-05
3537.95 0.150171
3542.95 0.249783
3547.85 0.29994
3553 0.450027
3557.9 0.55001
3562.85 0.649909
3567.95 0.500036
3572.9 0.549938
3577.95 0.69999
3582.95 0.799991
3587.9 0.900111
3592.95 1.35
3603.8 7.35007
3609.7 5.6222e-05
3615.6 0.0499957
3621.35 5.1688e-05
3626.95 5.2089e-05
3632.4 5.0881e-05
3637.7 3.3546e-05
3642.95 0.0502123
3662 13.9002
3667.2 6.1549e-05
3673.95 1.74993
3688.1 9.10021
3694.8 5.1557e-05
3701.4 5.5406e-05
3707.85 6.2078e-05
3714.15 0.000109148
3720.35 5.6728e-05
3726.45 2.936e-05
3732.45 0.0499677
3738.15 3.4873e-05
3745.35 1.60005
3751 6.0948e-05
3757.15 0.650166
3762.8 6.1568e-05
